candidate_id,status,failure_stage,error
lgb_foldsafe_baseline_v1,completed,,
cb_foldsafe_baseline_v1,completed,,
lgb_cb_foldsafe_fixed_blend_v1,completed,,
q2_lgb_weighted_reliability_v1,completed,,
q2_cb_weighted_reliability_v1,completed,,
s4_lgb_weighted_reliability_v1,completed,,
s4_cb_weighted_reliability_v1,completed,,
q2_uncertainty_prior_shrink_v1,completed,,
s4_uncertainty_prior_shrink_v1,completed,,
q2_temperature_scale_v1,completed,,
s4_temperature_scale_v1,completed,,
q2_nested_platt_diagnostic_v1,completed,,
s4_nested_platt_diagnostic_v1,completed,,
